index,name,price,condition,posted_date,url
1,AQUOS sense7 plus ブラック 本体,"23,000",傷や汚れあり,13日前,https://jp.mercari.com/item/m83676084413
2,ひろりん様専用　お取り置き11月8日まで,"45,000",未使用に近い,8日前,https://jp.mercari.com/item/m62543239109
3,【ジャンク】AQUOS Sense8,"12,000",全体的に状態が悪い,22日前,https://jp.mercari.com/item/m64798960069
4,値下不可　1週間使用美品　AQUOS sense4 basic SIMフリー本体,"11,111",未使用に近い,13日前,https://jp.mercari.com/item/m97988376567
5,最終価格 AQUOS sense8 グリーン 本体 極美品,"40,000",目立った傷や汚れなし,26日前,https://jp.mercari.com/item/m54811873220
6,AQUOS sense4 lite 楽天版SIMフリー SH-RM15,"6,500",傷や汚れあり,1か月前,https://jp.mercari.com/item/m14711490875
7,SIMフリーSHARP AQUOS sense6本体ケース付き,"15,000",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m68803393469
8,【美品】AQUOS Sense8 SIMフリー 128GB 本体 ケース付き,"46,900",未使用に近い,1か月前,https://jp.mercari.com/item/m16798773856
9,ジャンク。AQUOSsense8 スマホ本体,"18,000",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m67347372679
10,"【美品】AQUOS sense8 スマートフォン 約5,030万画素カメラ搭載","45,800",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m36526881331
11,中古　AQUOS sense3(SH-02M)ソフトピンク,"5,380",やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m74629639654
12,AQUOS Sense SH-01K パープル,"3,000",未使用に近い,1か月前,https://jp.mercari.com/item/m68778450779
13,AQUOS sence8 ペールグリーン 新品未開封,"51,800",新品、未使用,2か月前,https://jp.mercari.com/item/m87274388127
14,SHARP AQUOS sense2 SH-M08 SIMフリー　初期化済,"4,500",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m65640022256
15,AQUOS sense5G ライトカッパー 64 GB SIMフリー,"9,480",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m97843576163
16,AQUOS sense4 lite 64GB,"7,000",目立った傷や汚れなし,4か月前,https://jp.mercari.com/item/m20451993747
17,AQUOS sense SH-01K ラベンダー　SIMロック解除済み,"3,344",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m71400348728
18,SHARP AQUOS sense3 plus 本体 SIMフリー,"16,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m53145352273
